age,in_incidence_rates,in_prevalence_rates,in_remission_rates,in_mortality_rates,out_incidence_rates,out_prevalence_rates,out_remission_rates,out_case_fatality_rates,out_duration_years,out_mortality_rates,out_rr_mortality_number,out_age_of_onset_years,disease,sex,in_case_fatality_rates,qimd
71,0.0047456227,0.2028077223,0,0.0064288006,0.013758945,0.2028077223,0,0.0316951539,9.6158696367,0.0064288006,1.8932229261,71.5,chd,men,,1 most deprived
72,0.0048095137,0.2132797756,0,0.0069439178,0.0142497697,0.2132797756,0,0.0325539899,9.2030941857,0.0069439178,1.845222614,72.5,chd,men,,1 most deprived
73,0.0048721291,0.2237624469,0,0.0074806824,0.0146916286,0.2237624469,0,0.0334276392,8.7955287981,0.0074806824,1.8025307598,73.5,chd,men,,1 most deprived
74,0.0049338979,0.2341738419,0,0.0080464781,0.0150414683,0.2341738419,0,0.034357554,8.3919376017,0.0080464781,1.7642044807,74.5,chd,men,,1 most deprived
75,0.0049952485,0.2444279345,0,0.008658527,0.0153521626,0.2444279345,0,0.035420231,7.9919639791,0.008658527,1.7297250241,75.5,chd,men,,1 most deprived
76,0.0050566096,0.2544364925,0,0.0093344789,0.0155908555,0.2544364925,0,0.0366836853,7.5963535945,0.0093344789,1.6982924634,76.5,chd,men,,1 most deprived
77,0.0051184099,0.2641272919,0,0.0100919837,0.0158651301,0.2641272919,0,0.0382058266,7.2069844166,0.0100919837,1.6688572902,77.5,chd,men,,1 most deprived
78,0.0051810782,0.2734469835,0,0.0109479849,0.0161470111,0.2734469835,0,0.0400342625,6.826731173,0.0109479849,1.6408027683,78.5,chd,men,,1 most deprived
79,0.0052450429,0.2823457932,0,0.0119031822,0.0164910268,0.2823457932,0,0.0421557785,6.4583899002,0.0119031822,1.6149381909,79.5,chd,men,,1 most deprived
80,0.0053082799,0.2907770412,0,0.0129420313,0.0168332919,0.2907770412,0,0.0445064425,6.1033046483,0.0129420313,1.5918824601,80.5,chd,men,,1 most deprived
81,0.005368808,0.2986981016,0,0.0140482818,0.0172183286,0.2986981016,0,0.0470301974,5.7608061389,0.0140482818,1.5724629345,81.5,chd,men,,1 most deprived
82,0.0054271201,0.3061014224,0,0.0152056832,0.0176694107,0.3061014224,0,0.0496743593,5.427855698,0.0152056832,1.5576271139,82.5,chd,men,,1 most deprived
83,0.0054837091,0.3130256736,0,0.0164003672,0.0182659789,0.3130256736,0,0.0523926604,5.0992812171,0.0164003672,1.5470461251,83.5,chd,men,,1 most deprived
84,0.0055390681,0.3195178842,0,0.017673259,0.0189782553,0.3195178842,0,0.0553125305,4.771130373,0.017673259,1.5366059346,84.5,chd,men,,1 most deprived
85,0.0055936899,0.3256297977,0,0.0191200763,0.0199898693,0.3256297977,0,0.0587181467,4.4448812915,0.0191200763,1.5222873344,85.5,chd,men,,1 most deprived
86,0.0056480675,0.3314169792,0,0.0208389196,0.0213188421,0.3314169792,0,0.0628799934,4.1293610825,0.0208389196,1.4998869606,86.5,chd,men,,1 most deprived
87,0.0057026939,0.336932063,0,0.0229278892,0.0231348843,0.336932063,0,0.0680517166,3.8432381195,0.0229278892,1.4656158179,87.5,chd,men,,1 most deprived
88,0.0057580621,0.342219719,0,0.0254725995,0.0254162503,0.342219719,0,0.0744375765,3.6173902201,0.0254725995,1.4220685178,88.5,chd,men,,1 most deprived
89,0.0058146649,0.3473254746,0,0.0282714918,0.028066821,0.3473254746,0,0.0814034764,3.4820900396,0.0282714918,1.3866124814,89.5,chd,men,,1 most deprived
20,0.0002745964,0.0003588428,0,2.669e-07,3.8273e-05,0.0003588428,0,0.0007437143,45.8189192986,2.669e-07,3.9296776942,20.5,chd,women,,1 most deprived
21,0.0003093957,0.0004161066,0,3.151e-07,4.43465e-05,0.0004161066,0,0.0007572684,44.8648605647,3.151e-07,3.7801154544,21.5,chd,women,,1 most deprived
22,0.0003456936,0.0004822959,0,6.189e-07,5.15731e-05,0.0004822959,0,0.0012833221,43.92252385,6.189e-07,5.4297772161,22.5,chd,women,,1 most deprived
23,0.0003814991,0.0005587207,0,1.2808e-06,6.01426e-05,0.0005587207,0,0.0022922723,43.0130230621,1.2808e-06,8.4412025045,23.5,chd,women,,1 most deprived
24,0.0004151506,0.0006468622,0,2.2712e-06,7.01918e-05,0.0006468622,0,0.0035109639,42.1498694273,2.2712e-06,11.6796736774,24.5,chd,women,,1 most deprived
25,0.0004473918,0.0007483902,0,3.4291e-06,8.16454e-05,0.0007483902,0,0.0045817398,41.3327163914,3.4291e-06,13.9772608213,25.5,chd,women,,1 most deprived
26,0.0004789668,0.0008651866,0,4.5876e-06,9.45197e-05,0.0008651866,0,0.0053021659,40.5498322502,4.5876e-06,14.8591145743,26.5,chd,women,,1 most deprived
27,0.0005106195,0.000999367,0,5.5799e-06,0.0001087447,0.000999367,0,0.0055831172,39.7843060647,5.5799e-06,14.3118780662,27.5,chd,women,,1 most deprived
28,0.0005430939,0.0011532992,0,6.2488e-06,0.00012436,0.0011532992,0,0.0054179461,39.0182585747,6.2488e-06,12.6346885538,28.5,chd,women,,1 most deprived
29,0.0005771339,0.0013296239,0,6.6617e-06,0.0001416818,0.0013296239,0,0.0050099905,38.238527705,6.6617e-06,10.6173087432,29.5,chd,women,,1 most deprived
30,0.0006134835,0.0015312783,0,7.1101e-06,0.0001610553,0.0015312783,0,0.0046430762,37.4418430206,7.1101e-06,8.961667527,30.5,chd,women,,1 most deprived
31,0.0006528865,0.0017616255,0,7.8955e-06,0.0001833809,0.0017616255,0,0.0044817568,36.6333809735,7.8955e-06,7.9065158865,31.5,chd,women,,1 most deprived
32,0.0006960871,0.0020245944,0,9.3191e-06,0.0002091872,0.0020245944,0,0.0046027787,35.8222683849,9.3191e-06,7.456842531,32.5,chd,women,,1 most deprived
33,0.000743829,0.0023246649,0,1.16787e-05,0.0002393895,0.0023246649,0,0.0050235873,35.0185702842,1.16787e-05,7.5266004617,33.5,chd,women,,1 most deprived
34,0.0007968563,0.0026669395,0,1.51848e-05,0.0002744661,0.0026669395,0,0.0056934274,34.2310814692,1.51848e-05,7.9335140305,34.5,chd,women,,1 most deprived
35,0.0008540665,0.0030572321,0,1.99612e-05,0.0003153889,0.0030572321,0,0.0065288199,33.4658711432,1.99612e-05,8.486264589,35.5,chd,women,,1 most deprived
36,0.0009138952,0.0035020066,0,2.6128e-05,0.0003622718,0.0035020066,0,0.0074604089,32.7262725517,2.6128e-05,9.0296956651,36.5,chd,women,,1 most deprived
37,0.0009763936,0.0040082446,0,3.38052e-05,0.0004158887,0.0040082446,0,0.0084333287,32.0136307451,3.38052e-05,9.4296067503,37.5,chd,women,,1 most deprived
38,0.001041613,0.0045836537,0,4.31018e-05,0.0004766248,0.0045836537,0,0.0094026423,31.3278892302,4.31018e-05,9.5893176186,38.5,chd,women,,1 most deprived
39,0.0011096045,0.0052367388,0,5.38747e-05,0.0005451851,0.0052367388,0,0.010286959,30.6671902839,5.38747e-05,9.4799944851,39.5,chd,women,,1 most deprived
40,0.0011804194,0.0059768485,0,6.57285e-05,0.0006213811,0.0059768485,0,0.0109961968,30.0271626748,6.57285e-05,9.122186479,40.5,chd,women,,1 most deprived
41,0.0012541088,0.006813979,0,7.82571e-05,0.0007053219,0.006813979,0,0.0114837077,29.401533537,7.82571e-05,8.5889077435,41.5,chd,women,,1 most deprived
42,0.0013307241,0.0077583115,0,9.1054e-05,0.0007958107,0.0077583115,0,0.0117352075,28.7832899255,9.1054e-05,7.9666199865,42.5,chd,women,,1 most deprived
43,0.0014103162,0.0088203804,0,0.0001037475,0.0008933899,0.0088203804,0,0.0117611403,28.1654852747,0.0001037475,7.3244858076,43.5,chd,women,,1 most deprived
44,0.0014929366,0.0100109833,0,0.0001167558,0.000997431,0.0100109833,0,0.0116616893,27.5429175826,0.0001167558,6.7215620329,44.5,chd,women,,1 most deprived
45,0.0015786364,0.0113409911,0,0.0001312873,0.0011098127,0.0113409911,0,0.0115752995,26.9139145279,0.0001312873,6.2064095828,45.5,chd,women,,1 most deprived
46,0.0016647743,0.0128211433,0,0.0001485849,0.0012302983,0.0128211433,0,0.0115880103,26.2799606225,0.0001485849,5.7894559257,46.5,chd,women,,1 most deprived
47,0.0017489345,0.0144618528,0,0.0001698914,0.0013605993,0.0144618528,0,0.011746497,25.6442914197,0.0001698914,5.4608522152,47.5,chd,women,,1 most deprived
48,0.0018315065,0.0162728406,0,0.0001963843,0.0014996633,0.0162728406,0,0.0120671315,25.0108766589,0.0001963843,5.2026564392,48.5,chd,women,,1 most deprived
49,0.0019128797,0.0182627563,0,0.0002277407,0.0016471087,0.0182627563,0,0.0124690906,24.3827167896,0.0002277407,4.9779463785,49.5,chd,women,,1 most deprived
50,0.0019934437,0.0204387684,0,0.0002621375,0.0017980569,0.0204387684,0,0.0128243344,23.7600851239,0.0002621375,4.7484135222,50.5,chd,women,,1 most deprived
51,0.0020735878,0.0228060998,0,0.0002976861,0.0019498266,0.0228060998,0,0.0130517398,23.1407069166,0.0002976861,4.5006130682,51.5,chd,women,,1 most deprived
52,0.0021537016,0.0253674874,0,0.0003324981,0.0020964575,0.0253674874,0,0.0131061025,22.520898523,0.0003324981,4.2350211707,52.5,chd,women,,1 most deprived
53,0.0022341745,0.0281227197,0,0.0003648029,0.0022347561,0.0281227197,0,0.0129707327,21.8964141045,0.0003648029,3.9570974458,53.5,chd,women,,1 most deprived
54,0.0023153959,0.0310681645,0,0.0003955464,0.0023607562,0.0310681645,0,0.0127305598,21.2640242566,0.0003955464,3.6852147858,54.5,chd,women,,1 most deprived
55,0.0023977554,0.0341963083,0,0.0004283908,0.002476204,0.0341963083,0,0.0125264672,20.6232396749,0.0004283908,3.4423117589,55.5,chd,women,,1 most deprived
56,0.0024816424,0.037497443,0,0.0004671162,0.0025838061,0.037497443,0,0.0124564072,19.9762713713,0.0004671162,3.2371470812,56.5,chd,women,,1 most deprived
57,0.0025674463,0.0409703149,0,0.0005155029,0.0027078341,0.0409703149,0,0.0125815004,19.3270395836,0.0005155029,3.0688519941,57.5,chd,women,,1 most deprived
58,0.0026501693,0.044618233,0,0.0005772109,0.0028413766,0.044618233,0,0.0129358063,18.6803951651,0.0005772109,2.9327891686,58.5,chd,women,,1 most deprived
59,0.0027254066,0.0484462387,0,0.0006531403,0.0030012612,0.0484462387,0,0.0134808676,18.0408735208,0.0006531403,2.8211864582,59.5,chd,women,,1 most deprived
60,0.0027944377,0.0524614598,0,0.0007414306,0.0031745464,0.0524614598,0,0.0141319283,17.41134609,0.0007414306,2.724023043,60.5,chd,women,,1 most deprived
