 age,eq5d_r,sex,productivity_cost
34,0.1,men,21357.9424
34,0.15,men,23129.49184
34,0.2,men,24918.66321
34,0.25,men,26711.59561
34,0.3,men,28494.83911
34,0.35,men,30255.72511
34,0.4,men,31982.67223
34,0.45,men,33665.41604
34,0.5,men,35295.15806
34,0.55,men,36864.63675
34,0.6,men,38368.12809
34,0.65,men,39801.38738
34,0.7,men,41161.54541
34,0.75,men,42446.97277
34,0.8,men,43657.125
34,0.85,men,44792.37955
34,0.9,men,45853.87374
34,0.95,men,46843.3501
34,1,men,47763.01401
35,0,men,18575.06813
35,0.05,men,20308.82442
35,0.1,men,22084.09478
35,0.15,men,23886.87989
35,0.2,men,25702.86867
35,0.25,men,27517.89144
35,0.3,men,29318.34229
35,0.35,men,31091.54617
35,0.4,men,32826.05278
35,0.45,men,34511.84741
35,0.5,men,36140.47694
35,0.55,men,37705.09555
35,0.6,men,39200.44043
35,0.65,men,40622.75036
35,0.7,men,41969.64179
35,0.75,men,43239.95679
35,0.8,men,44433.59571
35,0.85,men,45551.3455
35,0.9,men,46594.71226
35,0.95,men,47565.76425
35,1,men,48466.98929
36,0,men,19046.17705
36,0.05,men,20803.43272
36,0.1,men,22598.88258
36,0.15,men,24418.1144
36,0.2,men,26246.52579
36,0.25,men,28069.78739
36,0.3,men,29874.26636
36,0.35,men,31647.3862
36,0.4,men,33377.90627
36,0.45,men,35056.11339
36,0.5,men,36673.92565
36,0.55,men,38224.91525
36,0.6,men,39704.26232
36,0.65,men,41108.65404
36,0.7,men,42436.14448
36,0.75,men,43685.98992
36,0.8,men,44858.47238
36,0.85,men,45954.72231
36,0.9,men,46976.54826
36,0.95,men,47926.27933
36,1,men,48806.62384
37,0,men,19427.49491
37,0.05,men,21202.5789
37,0.1,men,23012.94014
37,0.15,men,24843.84498
37,0.2,men,26680.47639
37,0.25,men,28508.40392
37,0.3,men,30314.00628
37,0.35,men,32084.823
37,0.4,men,33809.82036
37,0.45,men,35479.56542
37,0.5,men,37086.31024
37,0.55,men,38623.99508
37,0.6,men,40088.18382
37,0.65,men,41475.94698
37,0.7,men,42785.70849
37,0.75,men,44017.07098
37,0.8,men,45170.63257
37,0.85,men,46247.80543
37,0.9,men,47250.64376
37,0.95,men,48181.6864
37,1,men,49043.81711
38,0,men,19716.11818
