"year","sex","age","qimd","pops"
2001,1,78,1,23279
2001,1,78,2,25019
2001,1,78,3,26896
2001,1,78,4,27200
2001,1,78,5,25363
2001,1,79,1,22353
2001,1,79,2,24344
2001,1,79,3,26328
2001,1,79,4,26653
2001,1,79,5,24199
2001,1,80,1,21123
2001,1,80,2,23241
2001,1,80,3,25567
2001,1,80,4,25709
2001,1,80,5,23669
2001,1,81,1,20028
2001,1,81,2,21638
2001,1,81,3,23204
2001,1,81,4,23223
2001,1,81,5,21221
2001,1,82,1,13315
2001,1,82,2,14438
2001,1,82,3,16119
2001,1,82,4,15592
2001,1,82,5,14143
2001,1,83,1,9948
2001,1,83,2,10903
2001,1,83,3,12404
2001,1,83,4,12319
2001,1,83,5,11126
2001,1,84,1,9177
2001,1,84,2,10798
2001,1,84,3,12358
2001,1,84,4,12152
2001,1,84,5,11201
2001,1,85,1,8176
2001,1,85,2,9896
2001,1,85,3,11252
2001,1,85,4,11495
2001,1,85,5,10144
2001,1,86,1,7534
2001,1,86,2,8995
2001,1,86,3,10326
2001,1,86,4,10355
2001,1,86,5,9296
2001,1,87,1,6340
2001,1,87,2,7562
2001,1,87,3,8654
2001,1,87,4,8865
2001,1,87,5,7703
2001,1,88,1,5143
2001,1,88,2,6106
2001,1,88,3,7100
2001,1,88,4,7234
2001,1,88,5,6498
2001,1,89,1,4016
2001,1,89,2,4880
2001,1,89,3,5701
2001,1,89,4,5714
2001,1,89,5,5232
2001,1,"90+",1,11211
2001,1,"90+",2,13861
2001,1,"90+",3,16355
2001,1,"90+",4,16433
2001,1,"90+",5,14956
2001,2,0,1,68951
2001,2,0,2,55681
2001,2,0,3,50236
2001,2,0,4,48383
2001,2,0,5,49529
2001,2,1,1,69753
2001,2,1,2,56808
2001,2,1,3,50966
2001,2,1,4,49725
2001,2,1,5,51702
2001,2,2,1,70232
2001,2,2,2,57882
2001,2,2,3,52600
2001,2,2,4,51512
2001,2,2,5,53680
2001,2,3,1,71081
2001,2,3,2,58680
2001,2,3,3,52938
2001,2,3,4,52706
2001,2,3,5,55660
2001,2,4,1,73243
2001,2,4,2,60013
2001,2,4,3,54534
2001,2,4,4,53779
2001,2,4,5,56844
2001,2,5,1,71302
2001,2,5,2,59229
2001,2,5,3,54205
2001,2,5,4,53860
2001,2,5,5,57481
2001,2,6,1,70044
2001,2,6,2,58992
2001,2,6,3,54338
2001,2,6,4,54667
2001,2,6,5,58338
2001,2,7,1,71662
2001,2,7,2,60382
2001,2,7,3,56092
2001,2,7,4,56220
2001,2,7,5,59762
2001,2,8,1,72766
2001,2,8,2,61207
2001,2,8,3,57277
2001,2,8,4,56332
2001,2,8,5,60133
