age,sex,qimd,year,C18_cases,C19_cases,C20_cases,C33_cases,C34_cases,C50_cases,pops
17,women,3,2005,0.177742467913757,0.00753519092262552,0.0418026541092888,0.00100513149496908,0.110539488835584,3.67953913524614,61209
17,women,3,2006,0.204083982985116,0.00812983068336214,0.041731887019854,0.00107979680799371,0.100161751993586,3.79712835902227,60744
17,women,3,2007,0.235176769727735,0.00873902302676498,0.0416072225403713,0.00115907750444594,0.0909452851707991,3.92908584616444,61381
17,women,3,2008,0.2721101572506,0.00935613548482921,0.0414254309120063,0.00124321909717527,0.0827601413857983,4.08247661000561,63460
17,women,3,2009,0.316217139403677,0.00997451664989846,0.0411852173390143,0.0013324554703956,0.075487777056917,4.26435269233758,62321
17,women,3,2010,0.368939989612336,0.0105916018618402,0.0408921452418173,0.00142713730167396,0.0690126363578899,4.47816227525607,60578
17,women,3,2011,0.431940208072539,0.0112064975192262,0.0405535020897444,0.00152767664643673,0.0632327346449967,4.72676082506166,61332
17,women,3,2012,0.507174123560438,0.0118190135666909,0.0401765474297905,0.00163452693193614,0.0580605850089619,5.01353812869044,59698
17,women,3,2013,0.596930977357436,0.0124296992488638,0.039768441989602,0.00174819819519412,0.0534209494612239,5.34246541354187,59461
17,women,3,2014,0.703870511626299,0.0130398649360016,0.0393361885622293,0.00186927874546077,0.0492489666330523,5.71815105812718,60430
17,women,3,2015,0.831057565031947,0.013651591334867,0.0388865847821545,0.00199846528856605,0.0454885889427419,6.14590485698675,58987
18,women,3,2001,0.122002714817177,0.00643646257890496,0.0489265437191485,0.000865162307784456,0.186900013566706,3.80328750914294,54524
18,women,3,2002,0.137951442250024,0.00703999799602886,0.0491372677977605,0.00092978527653483,0.168937208331034,3.89418019558472,55618
18,women,3,2003,0.156287456778723,0.00767941214091732,0.0492960795521974,0.000998152564271295,0.152938977128626,3.97175719461452,58056
18,women,3,2004,0.177492799356529,0.00835099648700793,0.0493973172539262,0.00107042153605449,0.138691760438146,4.04136304109998,58701
18,women,3,2005,0.202168503376813,0.00904961507093903,0.0494354396882415,0.00114678175433868,0.126004367351865,4.10885070807963,60742
18,women,3,2006,0.231067905184591,0.00976857900231325,0.0494050922361033,0.00122744388202434,0.114705943508992,4.18050746102367,61611
18,women,3,2007,0.265140599631483,0.0104995632270656,0.0493011801017351,0.0013126180254263,0.104644068560523,4.2630717081821,61644
18,women,3,2008,0.305590848041372,0.0112325814822742,0.0491189476451221,0.00140248242436525,0.0956829847917328,4.36385327259734,62758
18,women,3,2009,0.353891285934728,0.0119577026122136,0.0488563899139768,0.00149719588636705,0.087698662231738,4.48972741251054,65065
18,women,3,2010,0.411610445937451,0.0126709767554881,0.0485211946440886,0.00159706142017486,0.0805695402628382,4.64343013479184,62932
18,women,3,2011,0.480543245952424,0.0133709500834847,0.0481235211414041,0.00170244927482098,0.0741879927845744,4.82695591028154,61996
18,women,3,2012,0.56279572275838,0.014057254303279,0.047673520356832,0.00181376830559147,0.0684614776276755,5.04277515783248,61235
18,women,3,2013,0.660821274955902,0.0147306324013422,0.0471812209280082,0.00193148195435745,0.0633102229815084,5.29388032040023,60066
18,women,3,2014,0.777454328824907,0.0153929402103463,0.0466564346897956,0.00205613087329035,0.0586652976165543,5.58384374587747,59580
18,women,3,2015,0.91593810773955,0.0160471281617352,0.0461086818448063,0.00218836419428978,0.0544669971682766,5.9168885860259,60773
19,women,3,2001,0.14164728311162,0.00768179044302174,0.0575209695809408,0.0010011041570868,0.209387284952535,4.46010843428806,55349
19,women,3,2002,0.159280493814459,0.0084227232735348,0.0578708952672419,0.00107211723084377,0.190064891769505,4.51924321539941,55605
19,women,3,2003,0.179481327539475,0.00920712129538175,0.0581528971854146,0.00114690651264683,0.172820555353842,4.55709445280098,57636
19,women,3,2004,0.202776635593068,0.0100292512281359,0.0583587435808918,0.00122558443488149,0.157429001478686,4.58070771331541,61055
19,women,3,2005,0.229825353411137,0.0108812901972963,0.0584803496066902,0.00130829170273816,0.143689162268228,4.59747750241845,62021
19,women,3,2006,0.261455988053287,0.0117531651608414,0.0585098832238745,0.00139518327476971,0.131421787696137,4.61497548515703,62286
19,women,3,2007,0.298716354739839,0.0126324692280857,0.058439882509168,0.00148640259225986,0.120467259325865,4.64090029260247,64145
19,women,3,2008,0.342940048396034,0.0135044810732249,0.0582633826397193,0.00158204540956189,0.110683594035733,4.6831541669198,64635
19,women,3,2009,0.39575631096203,0.0143546957708056,0.0579773088589154,0.00168218070310915,0.101941184761338,4.74872746011487,65567
19,women,3,2010,0.458870459376903,0.0151773501286335,0.0575922168707824,0.00178705826853177,0.0941129332298512,4.83986483800621,66818
19,women,3,2011,0.534219623920952,0.0159704098964877,0.0571221872677881,0.00189700402257275,0.0870860238372589,4.95792459742835,63788
19,women,3,2012,0.624068142183989,0.0167335152722184,0.0565813315088247,0.00201238046897007,0.0807631749128944,5.10470687352876,61798
19,women,3,2013,0.731040818288344,0.0174679742178457,0.0559836111927281,0.00213360355318398,0.0750602910412185,5.28249898275514,62152
19,women,3,2014,0.858150983260032,0.0181767154691013,0.0553426890863374,0.00226116636861913,0.0699044998172117,5.49413428094303,60350
19,women,3,2015,1.00881906211621,0.0188642117049156,0.0546718122600269,0.00239567166504375,0.0652325060642098,5.74306662795378,60518
20,women,3,2001,0.164426577231752,0.00917039340050436,0.0676268760730248,0.00115823262191923,0.234624708151518,5.22273740565059,60147
20,women,3,2002,0.183859801916862,0.0100821637274826,0.0681639796950957,0.00123606097398789,0.213885689404498,5.24183374916948,58345
20,women,3,2003,0.206045167125327,0.0110470686873563,0.0686132420364584,0.00131765455506151,0.195345880343814,5.23039087106117,58537
20,women,3,2004,0.2315596117221,0.0120565274946686,0.0689627899936308,0.00140306907488475,0.178765305931865,5.19788884827675,60930
20,women,3,2005,0.261126885827195,0.0130989208995405,0.0692009146850247,0.00149238372394628,0.163930851174162,5.15392256846494,64581
20,women,3,2006,0.295659779890841,0.0141593888310332,0.069316239028382,0.00158568387975706,0.150653330685283,5.10790715948224,65521
20,women,3,2007,0.336316479988071,0.0152197632530048,0.0692979039490097,0.00168303080832329,0.138764870305663,5.06895548374733,65004
20,women,3,2008,0.384576346856318,0.0162586789287339,0.0691357703401707,0.00178442026040327,0.128116567576407,5.04592199242156,67234
20,women,3,2009,0.442244372516585,0.0172552949939716,0.0688251728586573,0.00188981486966418,0.118573042626485,5.04618014112473,67507
20,women,3,2010,0.51117357753981,0.0182015176244802,0.0683805223674613,0.00199940637861464,0.110002430455995,5.07163783439389,68787
20,women,3,2011,0.593451813615783,0.0190948110317749,0.0678212314843418,0.00211347538199397,0.1022875185691,5.12315479579962,67758
20,women,3,2012,0.691509621537566,0.0199352063647759,0.0671668136552956,0.00223233804090566,0.0953268816310287,5.20200776340317,66182
20,women,3,2013,0.808149038700005,0.0207252190869989,0.0664366000291202,0.00235636393145615,0.0890325411271082,5.3099361683888,65000
20,women,3,2014,0.946563936851684,0.0214697018323003,0.0656495075237757,0.00248600093486643,0.0833280015277322,5.4492019411974,64521
20,women,3,2015,1.11034645078315,0.0221756548597493,0.0648238587392691,0.00262180904996686,0.0781465985453682,5.62266624507441,63154
21,women,3,2001,0.190837213567682,0.0109497823043881,0.0795085016457356,0.00133978980608931,0.262959958345236,6.10516390483669,60506
21,women,3,2002,0.212179662162606,0.0120742172542443,0.0802944185472737,0.00142483270669087,0.240756731640236,6.07524642583568,61526
21,women,3,2003,0.236461309809656,0.0132642442578935,0.0809679509603748,0.0015135787689603,0.220883321805626,6.00388549537618,59954
21,women,3,2004,0.264315467881018,0.0145073188661263,0.081512112757661,0.00160601290745508,0.203080971904076,5.90390694213385,60874
21,women,3,2005,0.296538793572341,0.0157865012193969,0.0819100755250767,0.00170213777546606,0.187121478147887,5.78791177465194,63209
21,women,3,2006,0.334138891229718,0.017080204634024,0.0821454303991749,0.00180195283450454,0.172803486740329,5.66782356754213,66865
21,women,3,2007,0.378398238310775,0.0183621758717735,0.082202480738942,0.00190541911555554,0.159949259369412,5.55468601592057,67306
21,women,3,2008,0.430960703351743,0.0196017761272062,0.08206656087123,0.0020124122392376,0.148401843681979,5.45868777266686,66366
21,women,3,2009,0.49382859784952,0.0207694373372228,0.0817306695225743,0.0021227701088687,0.138019685870656,5.38783527739604,68275
21,women,3,2010,0.569013811686735,0.0218541245290611,0.0812143787555196,0.00223662271129396,0.128667301009267,5.34378980378444,68442
21,women,3,2011,0.658762849274985,0.0228530543578838,0.0805443229621243,0.00235420645762961,0.120224317356831,5.32696825001041,68093
21,women,3,2012,0.765679281750028,0.0237673417761164,0.0797473540821403,0.00247579357737943,0.112586135460735,5.33818017660421,68885
21,women,3,2013,0.892746242272297,0.0246017621034629,0.0788501030036582,0.00260171105479144,0.105661648410659,5.37867651112152,67707
21,women,3,2014,1.04333641015883,0.0253644141128923,0.077878622617182,0.00273236677044522,0.0993713202388904,5.45021199938003,66096
21,women,3,2015,1.22120271626921,0.0260663276602304,0.0768581137151167,0.00286828463968825,0.0936455626899555,5.55512486933223,66146
22,women,3,2001,0.221453800977229,0.0130764478659958,0.0934745893938442,0.00154949168648925,0.294788728996521,7.1221211793658,58646
22,women,3,2002,0.24480496600068,0.0144657620601623,0.0945879557066577,0.0016421016460695,0.271087006023143,7.03377923386319,61808
22,women,3,2003,0.271283203236196,0.015936864835482,0.0955590132941321,0.00173829266135804,0.249857599777,6.8909770713782,63003
22,women,3,2004,0.301585729563401,0.0174717478258011,0.0963636611877365,0.0018379620874144,0.230817507229193,6.71100260054104,61506
22,women,3,2005,0.336591601285564,0.0190460720845392,0.0969779003562464,0.00194101827533878,0.213719257233977,6.51044089754095,63465
22,women,3,2006,0.377415381565689,0.020628859666707,0.0973782376155658,0.00204735564151208,0.198346152824695,6.30451489228147,65192
22,women,3,2007,0.42547970434372,0.0221825739717441,0.0975421408320739,0.00215681409382045,0.184508198161587,6.1067922458663,68220
22,women,3,2008,0.482614157147365,0.0236636996830236,0.0974485376336873,0.00226912618946719,0.172038602849414,5.92920889646788,68760
22,women,3,2009,0.551042428177732,0.0250307160416018,0.0970870332572809,0.00238398487196457,0.160788880963918,5.78064104973019,67114
22,women,3,2010,0.632946356913141,0.0262689520362702,0.0964840734653939,0.00250145642308208,0.150621528742607,5.66253141849614,69225
22,women,3,2011,0.730737963187732,0.0273759239241405,0.0956760255457485,0.0026217371089296,0.141414824195203,5.57483368351583,68989
22,women,3,2012,0.847198984116665,0.028355002240605,0.0946996608655279,0.00274506082440491,0.133062453140031,5.51786645105798,69283
22,women,3,2013,0.985494737132242,0.0292148802754033,0.0935914826593697,0.00287171916819833,0.125471355543878,5.49236951424269,70227
22,women,3,2014,1.14917053586733,0.0299688977280408,0.0923871827045794,0.00300208885228567,0.118559899658015,5.49957229407652,69428
22,women,3,2015,1.34212237531967,0.0306343010643046,0.0911212289966306,0.00313666812786373,0.112256331051074,5.54127865250713,68022
23,women,3,2001,0.256939802858455,0.015616434839796,0.109880227506979,0.00179155635181186,0.330571120138506,8.28773538153925,57158
23,women,3,2002,0.282391579427917,0.0173350981706403,0.111419881452723,0.00189200303173914,0.305354184261277,8.13147791783171,60704
23,women,3,2003,0.311158623680046,0.0191567065191753,0.112781339671991,0.00199583793914249,0.282767153922232,7.90518910059608,63808
23,women,3,2004,0.344011036428458,0.0210558079658345,0.113930704399329,0.00210285123599447,0.262495626494818,7.63191811473463,65151
23,women,3,2005,0.381921258662791,0.0229978778525428,0.114834031605707,0.00221283641609036,0.244267247698619,7.33336545233536,64303
23,women,3,2006,0.426124523378984,0.0249389444134954,0.115457945368185,0.00232556102747269,0.22784556171549,7.02895390180165,66570
23,women,3,2007,0.478201184249055,0.026825854343092,0.115770337452422,0.00244072041135491,0.213024838006654,6.73543085488772,67480
23,women,3,2008,0.540189699907166,0.0285973548536873,0.115741139590118,0.0025578788009782,0.19962570580544,6.46691261407466,69563
23,women,3,2009,0.614560817285971,0.0301956935311153,0.11535506756776,0.00267656286308745,0.187491414972674,6.23336292526345,69857
23,women,3,2010,0.703676344713588,0.0316018312104198,0.114647619649076,0.00279677602625577,0.176484580883398,6.0359774099195,68681
23,women,3,2011,0.810118477735296,0.0328146056408465,0.113668150012312,0.00291868244670537,0.166484662391445,5.87416058194576,71107
23,women,3,2012,0.936849188565106,0.0338415319870753,0.112466707130717,0.00304248754170088,0.157385722060199,5.74764979815145,70693
23,women,3,2013,1.08721265449273,0.0346977468418064,0.111093015674401,0.00316845918992658,0.149094475718798,5.65658504447859,70806
23,women,3,2014,1.26491432587179,0.0354047524430084,0.109595659251499,0.00329695635380711,0.14152862658375,5.60158770843488,72216
23,women,3,2015,1.47396666990365,0.035989107720616,0.108021467647026,0.00342846667577437,0.134615440121589,5.58385340420278,71838
24,women,3,2001,0.298061702396281,0.0186471540007731,0.129135107578233,0.00207078067328836,0.370837406544237,9.6152087767879,58471
24,women,3,2002,0.325699083285172,0.0207742362281112,0.131224124389992,0.00217920927799722,0.344111981363675,9.38202995108768,59525
24,women,3,2003,0.356840425621636,0.0230319539398407,0.13309272365476,0.00229075095169714,0.320193382864742,9.06024364494308,62926
24,women,3,2004,0.392339306681997,0.0253848330034051,0.134693662735969,0.00240506591089703,0.298726568093325,8.68010300606371,66684
24,women,3,2005,0.433274125390306,0.0277844698085124,0.135979343246943,0.00252180931874663,0.279406848857347,8.26968228209865,68888
24,women,3,2006,0.481016063366536,0.0301690797095259,0.136902731497353,0.0026405973420164,0.261971948251183,7.85359939540836,67867
24,women,3,2007,0.53732233819962,0.0324640799321316,0.13741841964244,0.00276095491021693,0.246195425182321,7.4524950601115,68980
24,women,3,2008,0.604465094067106,0.0345839857909189,0.137483807842299,0.00288225067304819,0.231881211137001,7.08312265832353,69418
24,women,3,2009,0.685188928236813,0.0364491959541576,0.137076622256434,0.00300382321902705,0.218862065473966,6.75674310221323,71323
24,women,3,2010,0.782043788847238,0.0380356077993028,0.136244140516724,0.00312561780026798,0.207003481637079,6.47423662187507,71433
24,women,3,2011,0.897783518679949,0.0393451287747472,0.13505286457284,0.00324777956788746,0.196189535972013,6.23432687299455,71676
24,women,3,2012,1.0355481092714,0.0403923450900008,0.133570432925642,0.00337050058522005,0.186317569893607,6.03603495578579,73064
24,women,3,2013,1.19885137134402,0.041202569242883,0.131864098151333,0.00349404205236511,0.177296529035522,5.87876959579268,71998
24,women,3,2014,1.39153830630805,0.0418096329566682,0.129999512807861,0.00361876399326536,0.169045531189521,5.76242101870481,72160
24,women,3,2015,1.61770041979795,0.0422536798970758,0.128039829933271,0.00374516380800655,0.161492630122143,5.68746469548793,74365
25,women,3,2001,0.345705173924004,0.0222593525969126,0.151712270665328,0.00239262097531096,0.4161966321048,11.1162862166381,60611
25,women,3,2002,0.375606268007387,0.0248913648322452,0.154502880178124,0.00250900229344226,0.388000504625887,10.7984486567201,59372
25,women,3,2003,0.40920098796764,0.0276902642472098,0.157024432495243,0.00262812742124403,0.362813114517959,10.3699518956411,60498
25,women,3,2004,0.447438758544199,0.0306072298962062,0.159211697258104,0.00274950043598773,0.340226956550847,9.86977891773873,64450
25,women,3,2005,0.491518203530769,0.033575128154315,0.160998512155893,0.00287261158647761,0.319895213392613,9.33372552991944,69017
25,women,3,2006,0.542963340237166,0.0365079676159816,0.162319140351882,0.00299689840044145,0.301521541520753,8.79267828938248,69850
25,women,3,2007,0.603728938510388,0.039301997835642,0.163109858075795,0.00312168724369074,0.284851748915057,8.27194354140088,69533
25,women,3,2008,0.676347168302901,0.0418388885053718,0.163310742183135,0.00324612218709556,0.269666987943904,7.7914062365557,69220
25,women,3,2009,0.763864042834959,0.0440098727045025,0.1628896058421,0.00336933201055271,0.255785941316844,7.36384857512641,69692
25,women,3,2010,0.869023234884939,0.0457852423834305,0.161908882522038,0.00349121336037237,0.24308043609527,6.9897520905551,71717
25,women,3,2011,0.994747535660796,0.0471727973283366,0.160457498851672,0.00361191166635968,0.231443726792952,6.66700752481989,72646
25,women,3,2012,1.14434723178483,0.0481985872066727,0.1586261803393,0.00373162702899796,0.220780366963626,6.39376554680388,72132
25,women,3,2013,1.32148912949393,0.0489034807087324,0.156505203844545,0.00385063725462362,0.211004928301151,6.1685544368273,73587
25,women,3,2014,1.53012730557812,0.049339448017252,0.154182616293649,0.00396932834556201,0.202040882537714,5.99039375486355,72841
25,women,3,2015,1.77438199236077,0.0495659833528767,0.151742930003456,0.00408823368088864,0.193819625175284,5.85891157755282,73020
26,women,3,2001,0.40089335641656,0.0265590512833122,0.178156427551652,0.00276327206452383,0.467349516911829,12.8003167027655,63884
26,women,3,2002,0.43313058624695,0.0298131833591352,0.181835697407773,0.00288733963928346,0.437761130415666,12.3923535458865,61419
26,women,3,2003,0.469252791364593,0.0332815998776211,0.185191220187645,0.00301367638749327,0.411415899956451,11.8477519927456,60745
26,women,3,2004,0.510319541005887,0.0368978898240543,0.188133766023234,0.00314160027818352,0.387838863097307,11.2157372314885,62096
26,women,3,2005,0.55766573125181,0.0405698742149876,0.190572173383881,0.00327040678526754,0.366628297827789,10.5412003704932,67537
26,women,3,2006,0.612986727661349,0.0441789407709177,0.192415318874203,0.00339932479861456,0.347442668051,9.8624172242999,70559
26,women,3,2007,0.678457016430881,0.0475819488521229,0.19357445925497,0.00352745184462778,0.32999016521976,9.21018700172688,71761
26,women,3,2008,0.756896473955793,0.0506163823515261,0.193965900700742,0.00365367706248034,0.314020303164704,8.60807490903464,70511
26,women,3,2009,0.851680450157812,0.053134854621239,0.193543506483119,0.00377689845456109,0.299332074971194,8.07065174560236,70851
26,women,3,2010,0.965748469627323,0.0551018469533178,0.19238900040848,0.00389697972089826,0.285807846510025,7.59793336694607,70750
26,women,3,2011,1.10218424431926,0.0565354258336497,0.190620371750355,0.0040140932220706,0.27335599104552,7.18683558993338,73866
26,women,3,2012,1.26445368582408,0.057479528843292,0.18835838609434,0.00412847578381086,0.261893508770821,6.83449392262585,73347
26,women,3,2013,1.45635080091253,0.0579981689181011,0.185723309423704,0.0042404521938346,0.251345210493222,6.53841536197556,73023
