year,sex,qimd,agegroup,deaths,agegrp,C18,C19,C20,C33,C34,C50,E11,F00_03,I20_25,I48,I60_69,J40_47,N390,pops
2001,men,2,80-84,8117,80-84,137,8,69,1,512,1,33,166,1898,39,891,574,54,81018
2001,men,2,85-89,6292,85-89,89,4,30,0,275,2,18,215,1372,33,735,427,69,37439
2001,men,2,90+,3538,90+,37,2,22,0,71,0,7,131,590,25,420,170,52,13861
2001,men,3,<1,230,<1,0,0,0,0,0,0,0,0,0,0,3,0,0,52371
2001,men,3,01-04,44,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,222371
2001,men,3,05-09,27,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,294976
2001,men,3,10-14,50,10-14,0,0,0,0,0,0,0,0,0,0,2,0,0,309736
2001,men,3,15-19,168,15-19,1,0,0,0,0,0,0,0,0,0,1,0,0,293514
2001,men,3,20-24,213,20-24,0,0,0,0,0,0,0,0,2,0,2,0,0,301780
2001,men,3,25-29,268,25-29,1,0,0,0,2,0,0,0,3,0,8,0,0,342548
2001,men,3,30-34,375,30-34,3,0,0,0,1,0,0,0,18,0,5,1,0,389010
2001,men,3,35-39,432,35-39,5,0,1,0,4,0,0,0,33,1,11,1,0,388965
2001,men,3,40-44,554,40-44,7,1,4,0,13,0,1,0,86,0,21,2,0,344988
2001,men,3,45-49,805,45-49,15,2,3,1,45,0,0,0,173,1,31,13,1,311952
2001,men,3,50-54,1457,50-54,45,3,21,0,127,1,0,2,330,0,77,20,0,340557
2001,men,3,55-59,2062,55-59,46,4,26,1,213,0,3,2,545,0,90,72,1,290961
2001,men,3,60-64,2864,60-64,88,7,42,0,302,4,4,5,774,1,138,108,4,243650
2001,men,3,65-69,4244,65-69,120,12,41,0,465,1,6,17,1124,11,284,200,10,216037
2001,men,3,70-74,6362,70-74,153,12,66,1,591,2,12,56,1715,11,500,378,11,186415
